t,  x,  y
0.000000e+00,  2.000000e-06,  1.000000e+00
4.000000e-06,  6.000000e-06,  1.000000e+00
1.200000e-05,  1.400000e-05,  1.000000e+00
2.800000e-05,  3.000000e-05,  1.000000e+00
6.000000e-05,  6.200000e-05,  1.000000e+00
1.240000e-04,  1.260000e-04,  1.000000e+00
2.520000e-04,  2.540000e-04,  1.000000e+00
5.080000e-04,  5.100000e-04,  9.999999e-01
1.020000e-03,  1.022000e-03,  9.999995e-01
2.044000e-03,  2.045999e-03,  9.999979e-01
4.092000e-03,  4.093989e-03,  9.999916e-01
8.188000e-03,  8.189908e-03,  9.999665e-01
1.638000e-02,  1.638127e-02,  9.998658e-01
3.276400e-02,  3.276014e-02,  9.994632e-01
6.553200e-02,  6.548710e-02,  9.978534e-01
1.182813e-01,  1.180077e-01,  9.930127e-01
1.753863e-01,  1.744905e-01,  9.846589e-01
2.332514e-01,  2.311440e-01,  9.729195e-01
2.912440e-01,  2.871460e-01,  9.578868e-01
3.492580e-01,  3.422026e-01,  9.396262e-01
4.072755e-01,  3.961110e-01,  9.182026e-01
4.652936e-01,  4.486870e-01,  8.936890e-01
5.233118e-01,  4.997532e-01,  8.661679e-01
5.813300e-01,  5.491376e-01,  8.357319e-01
6.393482e-01,  5.966741e-01,  8.024836e-01
6.973664e-01,  6.422027e-01,  7.665348e-01
7.553846e-01,  6.855702e-01,  7.280065e-01
7.853982e-01,  7.071082e-01,  7.071054e-01
8.858849e-01,  7.744764e-01,  6.326028e-01
9.447946e-01,  8.103778e-01,  5.859077e-01
1.002960e+00,  8.430679e-01,  5.378071e-01
1.061003e+00,  8.728465e-01,  4.879949e-01
1.119026e+00,  8.996763e-01,  4.365575e-01
1.177044e+00,  9.234769e-01,  3.836540e-01
1.235063e+00,  9.441695e-01,  3.294600e-01
1.293081e+00,  9.616849e-01,  2.741573e-01
1.351099e+00,  9.759639e-01,  2.179321e-01
1.409117e+00,  9.869587e-01,  1.609734e-01
1.467136e+00,  9.946322e-01,  1.034731e-01
1.525154e+00,  9.989587e-01,  4.562461e-02
1.570796e+00,  1.000000e+00,  -2.018278e-06
1.641656e+00,  9.974904e-01,  -7.080195e-02
1.699997e+00,  9.916650e-01,  -1.288433e-01
1.758069e+00,  9.825154e-01,  -1.861816e-01
1.816096e+00,  9.700642e-01,  -2.428488e-01
1.874116e+00,  9.543497e-01,  -2.986914e-01
1.932134e+00,  9.354241e-01,  -3.535277e-01
1.990152e+00,  9.133506e-01,  -4.071741e-01
2.048170e+00,  8.882035e-01,  -4.594502e-01
2.106189e+00,  8.600675e-01,  -5.101802e-01
2.164207e+00,  8.290372e-01,  -5.591934e-01
2.222225e+00,  7.952171e-01,  -6.063248e-01
2.280243e+00,  7.587209e-01,  -6.514158e-01
2.338262e+00,  7.196715e-01,  -6.943147e-01
2.356195e+00,  7.071053e-01,  -7.071082e-01
2.472231e+00,  6.204840e-01,  -7.842191e-01
2.531376e+00,  5.730431e-01,  -8.195252e-01
2.589581e+00,  5.243996e-01,  -8.514723e-01
2.647630e+00,  4.741167e-01,  -8.804620e-01
2.705653e+00,  4.222601e-01,  -9.064747e-01
2.763673e+00,  3.689863e-01,  -9.294348e-01
2.821691e+00,  3.144714e-01,  -9.492669e-01
2.879709e+00,  2.588984e-01,  -9.659046e-01
2.937727e+00,  2.024541e-01,  -9.792917e-01
2.995746e+00,  1.453286e-01,  -9.893834e-01
3.053764e+00,  8.771401e-02,  -9.961457e-01
3.111782e+00,  2.980424e-02,  -9.995558e-01
3.141593e+00,  -2.036646e-06,  -1.000000e+00
3.242649e+00,  -1.008863e-01,  -9.948980e-01
